ball_name,picture_name,gen,Catch_rate_modifier,Additional_effect,description
Poke Ball,pokeballs/pokeball.png,1,1x,"Must be in the player's bag with an empty space in the party to
obtain a Shedinja when Nincada evolves from Generation IV onwards.","The Poke Ball is a type of Poke Ball introduced in Generation I.
It is the most basic form of Poke Ball,
an item used to catch a wild Pokemon.

The eponymous Poke Ball is the most ubiquitous kind of Poke Ball
across the entire Pokemon franchise.
It is frequently used to represent the Pokemon series as a whole, such as in the Pokmon series'
icon in the Super Smash Bros. series."
Great Ball,pokeballs/greatball.png,1,1.5x,,"The Great Ball is a type of Poke Ball introduced in Generation I.
It is an improved variant of the regular
Poke Ball that can be used to catch wild Pokemon."
Ultra Ball,pokeballs/ultraball.png,1,2x,,"The Ultra Ball is a type of Poke Ball introduced in Generation I. It is an improved variant of the
Great Ball that can be used to catch wild Pokemon."
Master Ball,pokeballs/masterball.png,1,255x,,"The Master Ball is a type of Poke Ball introduced in Generation I.
It can be used to catch a wild Pokemon without fail.It was invented by the Silph Co."
Safari Ball,pokeballs/safariball.png,1,1.5x,"Prior to Generation VIII, it could not be obtained in normal gameplay,
and was only usable within Safari Zones.","The Safari Ball is a type of Poke Ball introduced in Generation I.
It can be used to catch wild Pokemon during a Safari Game."
Fast Ball,pokeballs/fastball.png,2,4x if used on a Pokemon with a base Speed of at least 100 otherwise 1x,,"The Fast Ball is a type of Poke Ball introduced in Generation II.
It can be used to catch a wild Pokemon,
being more likely to succeed against Pokemon that are fast or quick to flee.

It is one of Kurt's signature Apricorn Poke Balls, and is made from White Apricorns."
Level Ball,pokeballs/levelball.png,2,"1x if the player's Pokemon is the same level as or a lower level than the wild Pokemon
2x if the player's Pokemon is at a higher level than the wild Pokemon but less than double it
4x if the player's Pokemon is more than double but less than four times the level of the wild Pokemon
8x if the player's Pokemon is of a level four times or more than that of the wild Pokemon",,"The Level Ball is a type of Poke Ball introduced in Generation II.
It can be used to catch a wild Pokemon,
being more likely to succeed the higher the Trainer's Pokemon's level is than the wild Pokemon's.

It is one of Kurt's signature Apricorn Poke Balls, and is made from Red Apricorns."
Lure Ball,pokeballs/lureball.png,2,5x if used on a Pokemon encountered while fishing otherwise 1x,,"The Lure Ball is a type of Poke Ball introduced in Generation II.
It can be used to catch a wild Pokemon,
being more likely to succeed in fishing encounters.

It is one of Kurt's signature Apricorn Poke Balls, and is made from Blue Apricorns."
Heavy Ball,pokeballs/heavyball.png,2,"-20 if used on a Pokemon weighing 220.2 lbs. (99.9 kg) or less
±0 if used on a Pokemon weighing 220.5 lbs. (100.0 kg) – 440.7 lbs. (199.9 kg)
+20 if used on a Pokemon weighing 440.9 lbs. (200.0 kg) – 661.2 lbs. (299.9 kg)
+30 if used on a Pokemon weighing 661.4 lbs. (300.0 kg) or more",,"The Heavy Ball is a type of Poke Ball introduced in Generation II. It can be used to
catch a wild Pokemon, being more likely to succeed the heavier the Pokemon is.

It is one of Kurt's signature Apricorn Poke Balls, and is made from Black Apricorns."
Love Ball,pokeballs/loveball.png,2,"8x if used on a Pokemon of the same species but opposite gender of the player's Pokemon
otherwise 1x",,"The Love Ball is a type of Poke Ball introduced in Generation II.
It can be used to catch a wild Pokemon,
being more likely to succeed against a Pokemon of the opposite gender to the Trainer's Pokemon.

It is one of Kurt's signature Apricorn Poke Balls, and is made from Pink Apricorns."
